"AMEX Securities as of 11/9/2007","","",""
"Name","Symbol","Market Value (millions)","Description (as filed with the SEC)"
"AirNet Systems, Inc.","ANS","$22.3","AirNet Systems, Inc. (“AirNet”) is a specialty air carrier for time-sensitive
deliveries, operating between most major U.S. cities each working day. AirNet is
the leading transporter of cancelled checks and related information for the U.S.
banking industry. AirNet also provides specialized, high-priority delivery
services to customers, primarily those involved in the life sciences and media
and entertainment industries. During the first nine months of 2006, AirNet also
provided private passenger charter services through its wholly-owned subsidiary,
Jetride, Inc. (“Jetride”). As described below, the Jetride passenger charter
business was sold on September 26, 2006.
In addition to regularly scheduled delivery services, AirNet offers on-demand
cargo charter delivery services for both Bank Services and Express Services
customers.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f30%2f0000950152-07-002891.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Alcoa Inc.","AA^","$45.5","Information describing Alcoa’s businesses can be found in the Annual Report at
the indicated pages:

 

Item

 

                                                                               Page(s) 
                                                                               -------  
Discussion of Recent Business Developments:                                             
Management’s Discussion and Analysis of Financial Condition and Results of             
Operations – Overview – Results of Operations – Earnings Summary                 25-30  
Notes to Consolidated Financial Statements                                              
Note B. Discontinued Operations and Assets Held for Sale                         48-49  
Note D. Special Items                                                            49-50  
Note F.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2004%2f02%2f27%2f0001193125-04-031464.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Aldabra 2 Acquisition Corp","AII","$494.2","No business description found."
"Aldabra 2 Acquisition Corp","AII/U","$0.0","Not Available"
"Aldabra 2 Acquisition Corp","AII/WS","$0.0","Not Available"
"Alexco Resource Corp","AXU","$193.3","No business description found."
"Allied Defense Group (The)","ADG","$55.9","The Allied Defense Group, Inc. (“Allied” or the “Company”) is a diversified,
multinational portfolio of defense and security businesses. Through our two
primary segments, Ammunition & Weapons Effects and Electronic Security we
specialize in delivering sophisticated defense and security solutions for
government and commercial requirements worldwide.
 
Allied was incorporated as a Delaware corporation in 1961 under the name Allied
Research Associates, Inc. Allied changed its corporate name to Allied Research
Corporation in 1988 and subsequently changed its name to The Allied Defense
Group, Inc. effective January 2, 2003. Allied’s strategic defense and security
businesses are conducted through MECAR S.A. (“MECAR”), a group of Belgian and
U.S. corporations consisting of VSK Electronics N.V., Télé Technique Générale
S.A., Intelligent Data Capturing Systems N.V., VIGITEC S.A. and CMS Security
Systems (collectively, “VSK”), MECAR USA, Inc.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f23%2f0000950133-07-001230.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Allied Nevada Gold Corp","ANV","$354.8","Allied Nevada Gold Corp. was incorporated under the laws of Delaware on
September 14, 2006. We are a wholly-owned subsidiary of Vista Gold Corp., a
corporation incorporated under the laws of the Yukon Territory, Canada. Vista is
currently engaged in the evaluation, acquisition, exploration and advancement of
gold exploration and potential development projects, with current holdings in
Nevada, California, Idaho and Colorado in the United States, as well as Bolivia,
Mexico, Indonesia and Australia.

We currently hold no properties, are not yet conducting business operations and
have no shareholders other than Vista.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f13%2f0001193125-07-080939.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Almaden Minerals, Ltd.","AAU","$128.2","The head office of the Company is located at 750 West Pender Street, Suite 1103,
Vancouver, British Columbia, Canada, V6C 2T8.  The registered and records office
of the Company is 1185 West Georgia Street, Suite 1550, Vancouver, British
Columbia, Canada, V6E 4E6.


The contact persons are Duane Poliquin, President and Morgan Poliquin, Director.
 The telephone number is (604) 689-7644.  The fax number is (604) 689-7645.  The
email address is info@almadenminerals.com.  The web-site address is
www.almadenminerals.com.




                                                                              20



--------------------------------------------------------------------------------
The Company was created by amalgamation under the laws of the Province of
British Columbia of its predecessor companies, Almaden Resources Corporation and
Fairfield Minerals Ltd., effective December 31, 2001.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f29%2f0001137171-07-000415.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"Alpha Pro Tech, Ltd.","APT","$42.7","ALPHA PRO TECH, LTD. (the “Company” or “Alpha Pro Tech,” “we,” “our” or “us”)
was incorporated in the State of Delaware on July 1, 1994 as a successor to a
business that was organized in 1983.  Our executive offices are located at 60
Centurian Drive, Suite 112, Markham Ontario, Canada L3R 9R2, and our telephone
number is (905) 479-0654. Our website is located at www.alphaprotech.com. 
Information contained on our website is not part of this report.

BUSINESS

Alpha Pro Tech is in the business of protecting people, products and
environments. We accomplish this by developing, manufacturing and marketing a
line of high-value disposable protective apparel and infection control products
for the cleanroom, industrial, pharmaceutical, medical and dental markets. We
also manufacture and distribute a line of medical bed pads and accessories as
well as a line of pet beds.  Our products are sold both under the “Alpha Pro
Tech” brand name as well as under private labels.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f09%2f0001104659-07-017711.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"Alpha Security Group Corporation","HDS","$70.9","No business description found."
"Alpha Security Group Corporation","HDS/U","$0.0","Not Available"
"Alpha Security Group Corporation","HDS/WS","$0.0","Not Available"
"Alternative Asset Management Acquisition Corp","AMV","$474.5","No business description found."
"Alternative Asset Management Acquisition Corp","AMV/U","$0.0","Not Available"
"Alternative Asset Management Acquisition Corp","AMV/WS","$0.0","Not Available"
"Alyst Acquisition Corp","AYA","$71.1","No business description found."
"Alyst Acquisition Corp","AYA/U","$0.0","Not Available"
"Alyst Acquisition Corp","AYA/WS","$0.0","Not Available"
"AMCON Distributing Company","DIT","$20.8","AMCON Distributing Company (""AMCON"" or the ""Company"") was incorporated in
Delaware in 1986.  The Company's principal executive offices are located at
7405 Irvington Road, Omaha, Nebraska 68122.  The telephone number at that
address is 402-331-3727 and the website address is www.amcon.com.  The
Company makes available free of charge on its website, its reports on Forms
10-K and 10-Q, including amendments thereto, as soon as reasonably
practicable after filing with the Securities and Exchange Commission (""SEC"").

As of September 30, 2006, AMCON operates in two business segments:

      - Wholesale Distribution Segment - The Company is primarily engaged
        in the wholesale distribution of consumer products including
        cigarettes and tobacco products, candy and other confectionery,
        beverages, groceries, paper products and health and beauty care
        products.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f12%2f29%2f0000928465-06-000077.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"AMDL INC","ADL","$57.7","We are a theranostics (therapy and diagnosis) company, involved in the
detection of cancer and pharmaceutical products. While in the recent past most
of our sales have been derived from the sale of one of our OEM products, the
Company’s long term potential and prospects will come from: (i) our proprietary
product DR-70®, combination immunogene therapy technology, and (ii) from our
subsidiary Jade Pharmaceutical Inc. (“JPI”). On September 28, 2006, pursuant to
the Stock Purchase and Sale Agreement dated May 12, 2006, we acquired 100% of
the outstanding shares of JPI from Jade Capital Group Limited (“Jade”). JPI has
two wholly-owned People’s Republic of China (“PRC” or “China”) based
subsidiaries, Yangbian Yiqiao Bio-Chemical Pharmacy Company Limited (“YYB”) and
Jiangxi Jiezhong Bio-Chemical Pharmacy Company Limited (“JJB”). YYB and JJB are
engaged in the manufacture and distribution of over-the-counter and prescription
pharmaceuticals in China.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f21%2f0000950137-07-008990.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Biltrite Inc.","ABL","$19.6","American Biltrite Inc. (together with, unless the context otherwise indicates,
its wholly-owned subsidiaries and K&M Associates L.P., ""ABI"" or the ""Company"")
was organized in 1908 and is a Delaware corporation. ABI's major operations
include its Tape Division as well as a controlling interest in Congoleum
Corporation, a Delaware corporation (""Congoleum""), a controlling interest in K&M
Associates L.P., a Rhode Island limited partnership (""K&M""), and ownership of a
Canadian subsidiary, American Biltrite (Canada) Ltd. (""AB Canada"").

The Tape Division produces adhesive-coated, pressure-sensitive papers and films
used to protect material during handling or storage or to serve as a carrier for
transferring decals or die-cut lettering. The Tape Division also produces
pressure sensitive tapes and adhesive products used for applications in the
heating, ventilating and air conditioning (HVAC), footwear, automotive,
electrical and electronic industries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001171520-07-000118.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Caresource Holdings Inc","XSI","$55.9","American CareSource Holdings, Inc. (“American CareSource Holdings,” “ACS,” “we,”
“us,” “our,” the “Registrant,” or “Company”) is an ancillary services
contracting company. Through its comprehensive network of ancillary service
providers, unique contracting capabilities, customer service support and claims
management services, the Company assists health benefits plan sponsors such as
preferred provider organizations, third party administrators, insurance
companies, and large self-funded employers reduce overall ancillary healthcare
costs. Ancillary healthcare services include a broad array of services that
supplement or support the care provided by hospitals and physicians, including
the non-hospital, non-physician services associated with surgery centers,
free-standing diagnostic imaging centers, home health and infusion, dialysis,
supply of durable medical equipment, orthotics and prosthetics, laboratory and
many other services.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0001334950-07-000006.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Community Newspapers Inc.","ANE","$54.9","Courtside Acquisition Corp. is a blank check company formed on March 18, 2005 to
effect a merger, capital stock exchange, asset acquisition or other similar
business combination with an operating business. Our efforts in identifying a
prospective target business will not be limited to a particular industry
although we are focusing on the entertainment, media and communications
industries.

On July 7, 2005, we closed our initial public offering of 12,000,000 units, and
on July 11, 2005, we closed on an additional 1,800,000 units subject to the
over-allotment option. Each unit consisted of one share of our common stock and
two warrants, each to purchase one share of our common stock at an exercise
price of $5.00 per share. The units were sold at an offering price of $6.00 per
unit, generating gross proceeds of $82,800,000.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f08%2f0000950136-07-001481.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Community Newspapers Inc.","ANE/U","$0.0","Not Available"
"American Community Newspapers Inc.","ANE/WS","$0.0","Not Available"
"American Community Properties Trust","APO","$121.6","References to ""we,"" ""us,"" ""our"" or the ""Company"" refer to American Community
Properties Trust and our business and operations conducted through our
subsidiaries.

GENERAL
On March 17, 1997, American Community Properties Trust (""ACPT"" or the
""Company""), a wholly owned subsidiary of Interstate General Company L.P. (""IGC""
or ""Predecessor""), was formed as a real estate investment trust under Article 8
of the Maryland Corporation Associations Code (the ""Maryland Trust Law""). ACPT
was formed to succeed to most of IGC's real estate assets.
On October 5, 1998, IGC transferred to ACPT the common shares of four
subsidiaries that collectively comprised the principal real estate operations
and assets of IGC. In exchange, ACPT issued to IGC 5,207,954 common shares of
ACPT, all of which were distributed to the partners of IGC.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f23%2f0001065645-07-000009.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American International Group, Inc.","NOW","$0.0","American International Group, Inc. (AIG), a Delaware corporation, is a holding
company which, through its subsidiaries, is engaged in a broad range of
insurance and insurance-related activities in the United States and abroad.
AIG’s primary activities include both General Insurance and Life Insurance &
Retirement Services operations. Other significant activities include Financial
Services and Asset Management. The principal business units in each of AIG’s
segments are as follows*:
General Insurance
  American Home Assurance Company (American Home)                          
 
  National Union Fire Insurance Company of Pittsburgh, Pa.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f01%2f0000950123-07-003026.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Israeli Paper Mills, Ltd.","AIP","$201.7","American Israeli Paper Mills Ltd. was incorporated in 1951 under the laws of
the State of Israel, and, together with its subsidiaries and associated
companies (which together with the Company are referred to as the “Group”) is
Israel’s largest manufacturer of paper and paper products.

    The Company’s principal executive offices, and also the Company’s registered
offices, are located at 1 Meizer St., Industrial Zone, P.O. Box 142, Hadera,
Israel, Tel: (972-4) 634-9349, fax: (972-4) 633-9740.

    The organizational structure of the Company and certain subsidiaries was
changed as of January 1, 1999. This change was intended to result in an
operational separation between various activities, especially in the paper and
board divisions, to allow for better business focus, greater operating
efficiency and the formulation of business strategies that facilitate the
establishment of additional international strategic alliances.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f06%2f29%2f0000910680-07-000601.html#FIS_COMPANY_INFORMATION"" &nbsp;&nbsp;"
"American Mortgage Acceptance Company","AMC","$36.6","American  Mortgage  Acceptance  Company  was  formed in 1991 as a  Massachusetts
business  trust.  We elected to be treated  as a real  estate  investment  trust
(""REIT"")  under the Internal  Revenue Code of 1986, as amended (the ""Code"").  We
are an externally managed REIT; all of our operations are conducted, pursuant to
an  Advisory  Services  Agreement,  by  CharterMac  AMI  Associates,  Inc.  (the
""Advisor""), a subsidiary of CharterMac, a publicly traded company. We operate in
one business  segment,  which  focuses on investing in mortgage  loans and other
debt instruments  secured by multifamily and commercial  property throughout the
United  States.  Throughout  this  report,  the terms ""we"",  ""us"",  ""our"",  ""our
Company"" and similar  terms are meant to refer to American  Mortgage  Acceptance
Company and its consolidated subsidiaries.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f15%2f0001324042-07-000007.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Mortgage Acceptance Company","AMC^A","$0.0","Not Available"
"American Oil & Gas, Inc.","AEZ","$330.4","We are an independent oil and gas exploration and production company, engaged
in the exploration, development and acquisition of crude oil and natural gas
reserves and production in the western United States.
Developments Since December 31, 2004
  •    In April 2005, Tower Colombia Corporation (“TCC”) merged into American. The 
       stockholders of TCC received 5.8 million shares of our restricted common    
       stock. In conjunction with the merger, Pat O’Brien continues in his role as 
       Chief Executive Officer and as Chairman of American. Mr. O’Brien was the    
       President of TCC. Bob Solomon, formerly Vice President of TCC, became Vice  
       President of American and is responsible for oil and gas economic and       
       financial evaluations and the acquisition and disposition of oil and gas    
       assets.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f04%2f02%2f0000950134-07-007271.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Shared Hospital Services","AMS","$16.3","American Shared Hospital Services (“ASHS” and, together with its subsidiaries,
the “Company”) provides Gamma Knife stereotactic radiosurgery services to
twenty-one (21) medical centers in eighteen (18) states. The Company provides
these services through its 81% indirect interest in GK Financing, LLC, a
California limited liability company (“GKF”). The remaining 19% of GKF is owned
by GKV Investments, Inc., a wholly owned U.S. subsidiary of Elekta AG, a Swedish
company (“Elekta”). Elekta is the manufacturer of the Leksell Gamma Knifeâ (the
“Gamma Knife”). GKF is a non-exclusive provider of alternative financing
services for Elekta Gamma Knife units in the United States and Brazil. Gamma
Knife services accounted for 100% of the Company’s revenue in 2006.
In April 2006, the Company invested $2,000,000 for a minority equity interest in
Still River Systems, Inc.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f07%2f19%2f0000950134-07-015389.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Spectrum Realty, Inc.","AQQ","$25.0","American Spectrum Realty, Inc. (“ASR” or, collectively, as a consolidated entity
with its subsidiaries, the “Company”) is a Maryland corporation established on
August 8, 2000. The Company is a full-service real estate corporation which
owns, manages and operates income-producing properties. Substantially all of the
Company’s assets are held through an operating partnership (the “Operating
Partnership”) in which the Company, as of December 31, 2006, held the sole
general partner interest of .98% and a limited partnership interest totaling
85.75%. As of December 31, 2006, through its majority-owned subsidiary, the
Operating Partnership, the Company owned and operated 26 properties, which
consisted of 22 office buildings, three industrial properties, and one shopping
center. The 26 properties are located in six states.
 
During 2006, the Company purchased six office properties located in Houston,
Texas and one office property located in Victoria, Texas.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f03%2f15%2f0000950129-07-001391.html#FIS_BUSINESS"" &nbsp;&nbsp;"
"American Telecom Services, Inc.","TES","$3.4","We currently offer broadband phone (Voice-over-Internet-Protocol or “VoIP”) and
prepaid long distance communications services that are bundled with our digital,
cordless multi-handset phones. We sell our phone/service bundles through major
retailers under our “American Telecom”, “ATS”, “Pay N’ Talk” or “Digital Clear”
brand names. Our telecom platform is designed to enable seamless access to the
communications services provided by our strategic partners. Our strategic
partners include SunRocket, Inc., a growing provider of VoIP services, for our
VoIP service offering, and IDT Corporation, an established communications
carrier for our prepaid long distance service offerings. Under the agreements
with each of these service providers, we receive a percentage of their monthly
service revenues generated by users of our service offerings, in addition to the
revenues we generate through the sale of our phone hardware. We are initially
targeting the U.S.&nbsp;&nbsp;... More...""http://secfilings.nasdaq.com/edgar_conv_html%2f2006%2f09%2f28%2f0001072613-06-002035.html#FIS_BUSINESS"" &nbsp;&nbsp;"
