
Odds of Death Due to Injury, United States, 2005
						
Type of Accident or Manner of Injury 	Deaths 	One Year Odds 	Lifetime Odds
			Inhalation and ingestion of food causing obstruction of respiratory tract, W79 	864 	342,472 	4,396
			Inhalation and ingestion of other objects causing obstruction of respiratory tract, W80 	3,189 	92,786 	1,191
			Confined to or trapped in a low-oxygen environment, W81 	14 	21,135,421 	271,315
			Other and unspecified threats to breathing, W83-W84 	603 	490,706 	6,299
		Exposure to electric current, radiation, temperature, and pressure, W85-W99 	420 	704,514 	9,044
			Electric transmission lines, W85 	105 	2,818,056 	36,175
			Other and unspecified electric current, W86-W87 	293 	1,009,884 	12,964
			Radiation, W88-W91 	0 	--- 	---
			Excessive heat or cold of man-made origin, W92-W93 	13 	22,761,223 	292,185
			High and low air pressure and changes in air pressure, W94 	9 	32,877,322 	422,045
			Other and unspecified man-made environmental factors, W99 	0 	--- 	---
		Exposure to smoke, fire and flames, X00-X09 	3,197 	92,554 	1,188
			Uncontrolled fire in building or structure, X00 	2,617 	113,067 	1,451
			Uncontrolled fire not in building or structure, X01 	52 	5,690,306 	73,046
			Controlled fire in building or structure, X02 	28 	10,567,711 	135,657
			Controlled fire not in building or structure, X03 	33 	8,966,542 	115,103
			Ignition of highly flammable material, X04 	63 	4,696,760 	60,292
			Ignition or melting of nightwear, X05 	6 	49,315,983 	633,068
			Ignition or melting of other clothing and apparel, X06 	97 	3,050,473 	39,159
			Other and unspecified smoke fire and flames, X08-X09 	301 	983,043 	12,619
		Contact with heat and hot substances, X10-X19 	102 	2,900,940 	37,239
			Contact with hot tap-water, X11 	43 	6,881,300 	88,335
			Other and unspecified heat and hot substances, X10, X12-X19 	59 	5,015,185 	64,380
		Contact with venomous animals and plants, X20-X29 	105 	2,818,056 	36,175
			Contact with venomous snakes and lizards, X20 	7 	42,270,842 	542,630
			Contact with venomous spiders, X21 	10 	29,589,590 	379,841
			Contact with hornets, wasps and bees, X23 	82 	3,608,487 	46,322
			Contact with other and unspecified venomous animal or plant, X22, X24-X29 	6 	49,315,983 	633,068
		Exposure to forces of nature, X30-X39 	2,179 	135,794 	1,743
			Exposure to excessive natural heat, X30 	466 	634,970 	8,151
			Exposure to excessive natural cold, X31 	700 	422,708 	5,426
			Lightning, X33 	48 	6,164,498 	79,133
			Earthquake and other earth movements, X34-X36 	37 	7,997,186 	102,660
			Cataclysmic storm, X37 	874 	338,554 	4,346
			Flood, X38 	12 	24,657,991 	316,534
			Exposure to other and unspecified forces of nature, X32, X39 	42 	7,045,140 	90,438
		Accidental poisoning by and exposure to noxious substances, X40-X49 	23,618 	12,528 	161
			Nonopioid analgesics, antipyretics, and antirheumatics, X40 	226 	1,309,274 	16,807
			Antiepileptic, sedative-hypnotic, antiparkinsonism, and psychotropic drugs n.e.c., X41 	1,496 	197,791 	2,539
			Narcotics and psychodysleptics [hallucinogens] n.e.c., X42 	11,050 	26,778 	344
			Other and unspecified drugs, medicaments, and biologicals, X43-X44 	9,676 	30,580 	393
			Alcohol, X45 	346 	855,190 	10,978
			Gases and vapours, X46-X47 	703 	420,905 	5,403
			Other and unspecified chemicals and noxious substances, X48-X49 	121 	2,445,421 	31,392
		Overexertion, travel and privation, X50-X57 	32 	9,246,747 	118,700
		Accidental exposure to other and unspecified factors and sequelae, X58-X59, Y86 	7,571 	39,083 	502
	Intentional self-harm, X60-X84, Y87.0, *U03 a 	32,637 	9,066 	116
		Intentional self-poisoning, X60-X69 	5,744 	51,514 	661
		Intentional self-harm by hanging, strangulation, and suffocation, X70 	7,248 	40,824 	524
		Intentional self-harm by firearm, X72-X74 	17,002 	17,404 	223
		Other and unspecified means and sequelae, X71, X75-X84, Y87.0, *U03 a 	2,643 	111,955 	1,437
	Assault, X85-Y09, Y87.1, *U01 a 	18,124 	16,326 	210
		Assault by firearm, X93-X95 	12,352 	23,955 	308
		Assault by sharp object, X99 	2,097 	141,104 	1,811
		Other and unspecified means and sequelae, X85-X92, X96-X98, Y00-Y09, Y87.1, *U01 a 	3,675 	80,516 	1,034
	Event of undetermined intent, Y10-Y34, Y87.2, Y89.9 	4,742 	62,399 	801
		Poisoning, Y10-Y19 	3,240 	91,326 	1,172
		Hanging, strangulation, and suffocation, Y20 	139 	2,128,747 	27,327
		Drowning and submersion, Y21 	242 	1,222,710 	15,696
		Firearm discharge, Y22-Y24 	221 	1,338,895 	17,187
		Exposure to smoke, fire, and flames, Y26 	120 	2,465,799 	31,653
		Falling, jumping, or pushed from a high place, Y30 	69 	4,288,346 	55,049
		Other and unspecified means and sequelae, Y25, Y27-Y29, Y31-Y34,Y87.2, Y89.9 	711 	416,169 	5,342
	Legal intervention, Y35, Y89.0 	414 	714,724 	9,175
		Legal intervention involving firearm discharge, Y35.0 	330 	896,654 	11,510
		Legal execution, Y35.5 	54 	5,479,554 	70,341
		Other and unspecified means and sequelae, Y35.1-Y35.4, Y35.6-Y35.7, Y89.0 	30 	9,863,197 	126,614
	Operations of war and sequelae, Y36, Y89.1 	27 	10,959,107 	140,682
	Complications of medical and surgical care and sequelae, Y40-Y84, Y88.0-Y88.3 	2,653 	111,533 	1,432
						
a The manner of injury for ICD-10 code *U01 is Assault by Terrorism; for code *U03 it is Intentional Self-Harm by Terrorism.
