key	prez_2008	prez_2004	prez_2000	prez_1996	prez_1992	rank	circ	daily	sun	lat	lng	st	city	paper	metro	pop
Mississippi Press					GHWBush					30.3657552	-88.5561272	MS	Pascagoula	Mississippi Press	"#<struct CityMetro st=""MS"", city=""Pascagoula"", fips_state=""28"", fips_place=""55360"", cbsa_code=""37700"", metro_name=""Pascagoula, MS MSA"", metro_stature=""MSA"", pop_2007=152035, pop_2000=150564, pop_rank=263, pop_chg_pct_00_07=0.98, pop_chg_pct_avg=0.14, pop_at_or_above=239169431, pop_aoa_pct=78.4, metro_st=""MS"", metro_nickname="""", csa_name=""Gulfport-Biloxi-Pascagoula, MS CSA"">"	25621
Monroe Evening News				Dole						41.9164343	-83.3977101	MI	Monroe	Monroe Evening News	"#<struct CityMetro st=""MI"", city=""Monroe"", fips_state=""26"", fips_place=""55020"", cbsa_code=""33780"", metro_name=""Monroe, MI MSA"", metro_stature=""MSA"", pop_2007=153608, pop_2000=145945, pop_rank=260, pop_chg_pct_00_07=5.25, pop_chg_pct_avg=0.75, pop_at_or_above=238712327, pop_aoa_pct=78.2, metro_st=""MI"", metro_nickname="""", csa_name=""Detroit-Warren-Flint, MI CSA"">"	21076
Dalhart Daily Texan				Dole						36.0594772	-102.5132497	TX	Dalhart	Dalhart Daily Texan	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	7088
Muskogee Daily Phoenix	Obama	Kerry	Bush				14816			35.7478769	-95.3696909	OK	Muskogee	Muskogee Daily Phoenix	"#<struct CityMetro st=""OK"", city=""Muskogee"", fips_state=""40"", fips_place=""50050"", cbsa_code=""34780"", metro_name=""Muskogee, OK uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	38696
Dayton Daily News	Obama	Kerry	Gore	Clinton	Clinton	85	116690	116690	157833	39.7589478	-84.1916069	OH	Dayton	Dayton Daily News	"#<struct CityMetro st=""OH"", city=""Dayton"", fips_state=""39"", fips_place=""21000"", cbsa_code=""19380"", metro_name=""Dayton, OH MSA"", metro_stature=""MSA"", pop_2007=835537, pop_2000=848153, pop_rank=59, pop_chg_pct_00_07=-1.49, pop_chg_pct_avg=-0.21, pop_at_or_above=170871608, pop_aoa_pct=56.0, metro_st=""OH"", metro_nickname=""Miami Valley"", csa_name=""Dayton-Springfield-Greenville, OH CSA"">"	159134
Omaha World Herald	McCain	Bush	Bush		GHWBush	54	178545	178545	219795	41.2586096	-95.937792	NE	Omaha	Omaha World Herald	"#<struct CityMetro st=""NE"", city=""Omaha"", fips_state=""31"", fips_place=""37000"", cbsa_code=""36540"", metro_name=""Omaha-Council Bluffs, NE-IA MSA"", metro_stature=""MSA"", pop_2007=829890, pop_2000=767140, pop_rank=61, pop_chg_pct_00_07=8.18, pop_chg_pct_avg=1.17, pop_at_or_above=172536618, pop_aoa_pct=56.5, metro_st=""NE-IA"", metro_nickname=""Omaha Metro"", csa_name=""Omaha-Council Bluffs-Fremont, NE-IA CSA"">"	390007
Marshall News Messenger					Clinton					32.5448714	-94.3674184	TX	Marshall	Marshall News Messenger	"#<struct CityMetro st=""TX"", city=""Marshall"", fips_state=""48"", fips_place=""46776"", cbsa_code=""32220"", metro_name=""Marshall, TX uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	23882
Gainesville Sun	Obama	Kerry	Gore				44658			29.6516344	-82.3248262	FL	Gainesville	Gainesville Sun	"#<struct CityMetro st=""FL"", city=""Gainesville"", fips_state=""12"", fips_place=""25175"", cbsa_code=""23540"", metro_name=""Gainesville, FL MSA"", metro_stature=""MSA"", pop_2007=257099, pop_2000=232392, pop_rank=172, pop_chg_pct_00_07=10.63, pop_chg_pct_avg=1.52, pop_at_or_above=223207398, pop_aoa_pct=73.1, metro_st=""FL"", metro_nickname=nil, csa_name=nil>"	125684
Norwalk Reflector				Clinton						41.2425531	-82.6157331	OH	Norwalk	Norwalk Reflector	"#<struct CityMetro st=""OH"", city=""Norwalk"", fips_state=""39"", fips_place=""57302"", cbsa_code=""35940"", metro_name=""Norwalk, OH uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	16396
Napa Valley Register	McCain	Bush					16283			38.2971367	-122.2855293	CA	Napa	Napa Valley Register	"#<struct CityMetro st=""CA"", city=""Napa"", fips_state=""06"", fips_place=""50258"", cbsa_code=""34900"", metro_name=""Napa, CA MSA"", metro_stature=""MSA"", pop_2007=132565, pop_2000=124279, pop_rank=300, pop_chg_pct_00_07=6.67, pop_chg_pct_avg=0.95, pop_at_or_above=243155678, pop_aoa_pct=79.7, metro_st=""CA"", metro_nickname=""Napa County"", csa_name=""San Jose-San Francisco-Oakland, CA CSA"">"	77015
West Chester Daily Local News				Dole						39.9606643	-75.6054882	PA	West Chester	West Chester Daily Local News	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	17545
Kerrville Daily Times	McCain			Dole			8971			30.0474332	-99.1403189	TX	Kerrville	Kerrville Daily Times	"#<struct CityMetro st=""TX"", city=""Kerrville"", fips_state=""48"", fips_place=""39040"", cbsa_code=""28500"", metro_name=""Kerrville, TX uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	21894
El Paso Herald Post				Dole	GHWBush					31.7587198	-106.4869314	TX	El Paso	El Paso Herald Post	"#<struct CityMetro st=""TX"", city=""El Paso"", fips_state=""48"", fips_place=""24000"", cbsa_code=""21340"", metro_name=""El Paso, TX MSA"", metro_stature=""MSA"", pop_2007=734669, pop_2000=679622, pop_rank=68, pop_chg_pct_00_07=8.1, pop_chg_pct_avg=1.16, pop_at_or_above=177992336, pop_aoa_pct=58.3, metro_st=""TX"", metro_nickname=""El Paso County"", csa_name=nil>"	563662
Grand Forks Herald			Gore		Clinton					47.9252568	-97.0328547	ND	Grand Forks	Grand Forks Herald	"#<struct CityMetro st=""ND"", city=""Grand Forks"", fips_state=""38"", fips_place=""32060"", cbsa_code=""24220"", metro_name=""Grand Forks, ND-MN MSA"", metro_stature=""MSA"", pop_2007=97691, pop_2000=97478, pop_rank=393, pop_chg_pct_00_07=0.22, pop_chg_pct_avg=0.03, pop_at_or_above=250314006, pop_aoa_pct=82.0, metro_st=""ND-MN"", metro_nickname=""Grand Cities, Greater Grand Forks"", csa_name=nil>"	48426
Galveston County Daily News	McCain		Bush		Clinton		26933			29.3013479	-94.7976959	TX	Galveston	Galveston County Daily News	"#<struct CityMetro st=""TX"", city=""Galveston"", fips_state=""48"", fips_place=""28068"", cbsa_code=""26420"", metro_name=""Houston-Sugar Land-Baytown, TX MSA"", metro_stature=""MSA"", pop_2007=5628101, pop_2000=4715402, pop_rank=6, pop_chg_pct_00_07=19.36, pop_chg_pct_avg=2.77, pop_at_or_above=58817348, pop_aoa_pct=19.3, metro_st=""TX"", metro_nickname=""Greater Houston"", csa_name=""Houston-Baytown-Huntsville, TX CSA"">"	56420
Daily News Record	McCain		Bush		GHWBush		30908			38.4495688	-78.8689156	VA	Harrisonburg	Daily News Record	"#<struct CityMetro st=""VA"", city=""Harrisonburg"", fips_state=""51"", fips_place=""35624"", cbsa_code=""25500"", metro_name=""Harrisonburg, VA MSA"", metro_stature=""MSA"", pop_2007=117563, pop_2000=108193, pop_rank=332, pop_chg_pct_00_07=8.66, pop_chg_pct_avg=1.24, pop_at_or_above=246416545, pop_aoa_pct=80.7, metro_st=""VA"", metro_nickname=nil, csa_name=nil>"	41725
Shenandoah Valley News Today				Dole						40.7655528	-95.3722103	IA	Shenandoah	Shenandoah Valley News Today	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	5141
Saginaw News	Obama	Kerry					39143			43.4194699	-83.9508068	MI	Saginaw	Saginaw News	"#<struct CityMetro st=""MI"", city=""Saginaw"", fips_state=""26"", fips_place=""70520"", cbsa_code=""40980"", metro_name=""Saginaw-Saginaw Township North, MI MSA"", metro_stature=""MSA"", pop_2007=202268, pop_2000=210039, pop_rank=202, pop_chg_pct_00_07=-3.7, pop_chg_pct_avg=-0.53, pop_at_or_above=230076661, pop_aoa_pct=75.4, metro_st=""MI"", metro_nickname=""Greater Tri-Cities"", csa_name=""Saginaw-Bay City-Saginaw Township North, MI CSA"">"	57536
Nashville Banner				Clinton	Clinton					36.1658899	-86.7844432	TN	Nashville	Nashville Banner	"#<struct CityMetro st=""TN"", city=""Nashville"", fips_state=""47"", fips_place=""52006"", cbsa_code=""34980"", metro_name=""Nashville-Davidson-Murfreesboro-Franklin, TN MSA"", metro_stature=""MSA"", pop_2007=1521437, pop_2000=1311789, pop_rank=39, pop_chg_pct_00_07=15.98, pop_chg_pct_avg=2.28, pop_at_or_above=149909388, pop_aoa_pct=49.1, metro_st=""TN"", metro_nickname=""The Mid-State"", csa_name=""Nashville-Davidson-Murfreesboro-Columbia, TN CSA"">"	530852
New Castle News					Clinton					41.0036719	-80.3470091	PA	New Castle	New Castle News	"#<struct CityMetro st=""PA"", city=""New Castle"", fips_state=""42"", fips_place=""53368"", cbsa_code=""35260"", metro_name=""New Castle, PA uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	24652
Bennington Banner	Obama	Kerry					6502			42.8781345	-73.1967741	VT	Bennington	Bennington Banner	"#<struct CityMetro st=""VT"", city=""Bennington"", fips_state=""50"", fips_place=""04750"", cbsa_code=""13540"", metro_name=""Bennington, VT uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	18272
Wahpeton Daily News					GHWBush					46.2652367	-96.6059072	ND	Wahpeton	Wahpeton Daily News	"#<struct CityMetro st=""ND"", city=""Wahpeton"", fips_state=""38"", fips_place=""82660"", cbsa_code=""47420"", metro_name=""Wahpeton, ND-MN uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	8395
Times Leader	Obama	Kerry		Clinton	GHWBush		38229			41.2459149	-75.8813075	PA	Wilkes-Barre	Times Leader	"#<struct CityMetro st=""PA"", city=""Wilkes-Barre"", fips_state=""42"", fips_place=""85152"", cbsa_code=""42540"", metro_name=""Scranton-Wilkes-Barre, PA MSA"", metro_stature=""MSA"", pop_2007=549430, pop_2000=560627, pop_rank=90, pop_chg_pct_00_07=-2.0, pop_chg_pct_avg=-0.29, pop_at_or_above=192049885, pop_aoa_pct=62.9, metro_st=""PA"", metro_nickname=""Wyoming Valley"", csa_name=nil>"	40736
Pawtucket Times				Dole						41.878711	-71.3825558	RI	Pawtucket	Pawtucket Times	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	74965
Taunton Daily Gazette				Clinton	Clinton					41.900101	-71.0897675	MA	Taunton	Taunton Daily Gazette	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	57160
Bryan-College Station Eagle	Obama				GHWBush		21654			30.6743643	-96.3699632	TX	Bryan	Bryan-College Station Eagle	"#<struct CityMetro st=""TX"", city=""Bryan"", fips_state=""48"", fips_place=""10912"", cbsa_code=""17780"", metro_name=""College Station-Bryan, TX MSA"", metro_stature=""MSA"", pop_2007=203371, pop_2000=184885, pop_rank=201, pop_chg_pct_00_07=10.0, pop_chg_pct_avg=1.43, pop_at_or_above=229874393, pop_aoa_pct=75.3, metro_st=""TX"", metro_nickname=nil, csa_name=nil>"	69621
Hutchinson News	Obama	Kerry	Gore	Dole	Clinton		31019			38.0608445	-97.9297743	KS	Hutchinson	Hutchinson News	"#<struct CityMetro st=""KS"", city=""Hutchinson"", fips_state=""20"", fips_place=""33625"", cbsa_code=""26740"", metro_name=""Hutchinson, KS uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	40596
Bonham Favorite					Clinton					33.5773276	-96.1783111	TX	Bonham	Bonham Favorite	"#<struct CityMetro st=""TX"", city=""Bonham"", fips_state=""48"", fips_place=""09328"", cbsa_code=""14300"", metro_name=""Bonham, TX uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	10782
Albuquerque Journal			Bush	Dole	GHWBush	97	102902	102902	137623	35.0844909	-106.6511367	NM	Albuquerque	Albuquerque Journal	"#<struct CityMetro st=""NM"", city=""Albuquerque"", fips_state=""35"", fips_place=""02000"", cbsa_code=""10740"", metro_name=""Albuquerque, NM MSA"", metro_stature=""MSA"", pop_2007=835120, pop_2000=729653, pop_rank=60, pop_chg_pct_00_07=14.45, pop_chg_pct_avg=2.06, pop_at_or_above=171706728, pop_aoa_pct=56.3, metro_st=""NM"", metro_nickname=""The Duke City, ABQ, Rio Grande Valley"", csa_name=nil>"	487378
Saratogian					Clinton					43.0831301	-73.7845651	NY	Saratoga Springs	Saratogian	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	27989
Ardmore Daily Ardmoreite				Dole						34.1742611	-97.1436254	OK	Ardmore	Ardmore Daily Ardmoreite	"#<struct CityMetro st=""OK"", city=""Ardmore"", fips_state=""40"", fips_place=""02600"", cbsa_code=""11620"", metro_name=""Ardmore, OK uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	23975
New York Times	Obama	Kerry	Gore	Clinton	Clinton	3	1077256	1077256	1476400	40.7142691	-74.0059729	NY	New York City	New York Times	"#<struct CityMetro st=""NY"", city=""New York City"", fips_state=""36"", fips_place=""51000"", cbsa_code=""35620"", metro_name=""New York-Northern New Jersey-Long Island, NY-NJ-PA MSA"", metro_stature=""MSA"", pop_2007=18815988, pop_2000=18323002, pop_rank=1, pop_chg_pct_00_07=2.69, pop_chg_pct_avg=0.38, pop_at_or_above=18815988, pop_aoa_pct=6.2, metro_st=""NY-NJ-PA"", metro_nickname=""Greater New York, Tri-State Region"", csa_name=""New York-Newark-Bridgeport, NY-NJ-CT-PA CSA"">"	8008278
Ventura County Star	abstain		Bush	Dole						34.2783352	-119.2931676	CA	Ventura	Ventura County Star	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	96769
Morning Journal	McCain						25334			41.452819	-82.1823746	OH	Lorain	Morning Journal	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	67920
Falls Church News Press		Kerry								38.882334	-77.1710914	VA	Falls Church	Falls Church News Press	"#<struct CityMetro st=""VA"", city=""Falls Church"", fips_state=nil, fips_place=nil, cbsa_code=47900, metro_name=""Washington-Arlington-Alexandria, DC-VA-MD-WV MSA"", metro_stature=""MSA"", pop_2007=5306565, pop_2000=4796063, pop_rank=8, pop_chg_pct_00_07=10.64, pop_chg_pct_avg=1.52, pop_at_or_above=69537125, pop_aoa_pct=22.8, metro_st=""DC-VA-MD-WV"", metro_nickname=""National Capital Area, Greater Washington"", csa_name=""Washington-Baltimore-Northern Virginia, DC-MD-VA-WV CSA"">"	10340
San Francisco Chronicle	Obama	Kerry	Gore			12	370345	370345	424603	37.7749295	-122.4194155	CA	San Francisco	San Francisco Chronicle	"#<struct CityMetro st=""CA"", city=""San Francisco"", fips_state=""06"", fips_place=""67000"", cbsa_code=""41860"", metro_name=""San Francisco-Oakland-Fremont, CA MSA"", metro_stature=""MSA"", pop_2007=4203898, pop_2000=4123747, pop_rank=12, pop_chg_pct_00_07=1.94, pop_chg_pct_avg=0.28, pop_at_or_above=87970376, pop_aoa_pct=28.8, metro_st=""CA"", metro_nickname=""Bay Area, Northern California"", csa_name=""San Jose-San Francisco-Oakland, CA CSA"">"	732072
South Bend Tribune				Clinton						41.6833813	-86.2500066	IN	South Bend	South Bend Tribune	"#<struct CityMetro st=""IN"", city=""South Bend"", fips_state=""18"", fips_place=""71000"", cbsa_code=""43780"", metro_name=""South Bend-Mishawaka, IN-MI MSA"", metro_stature=""MSA"", pop_2007=316639, pop_2000=316663, pop_rank=149, pop_chg_pct_00_07=-0.01, pop_chg_pct_avg=0.0, pop_at_or_above=216728948, pop_aoa_pct=71.0, metro_st=""IN-MI"", metro_nickname=""Michiana"", csa_name=""South Bend-Elkhart-Mishawaka, IN-MI CSA"">"	103760
Star Gazette			Bush							42.0897965	-76.8077338	NY	Elmira	Star Gazette	"#<struct CityMetro st=""NY"", city=""Elmira"", fips_state=""36"", fips_place=""24229"", cbsa_code=""21300"", metro_name=""Elmira, NY MSA"", metro_stature=""MSA"", pop_2007=88015, pop_2000=91070, pop_rank=414, pop_chg_pct_00_07=-3.35, pop_chg_pct_avg=-0.48, pop_at_or_above=250968672, pop_aoa_pct=82.2, metro_st=""NY"", metro_nickname=nil, csa_name=nil>"	30026
Coos Bay World				Dole	GHWBush					43.3665007	-124.2178903	OR	Coos Bay	Coos Bay World	"#<struct CityMetro st=""OR"", city=""Coos Bay"", fips_state=""41"", fips_place=""15250"", cbsa_code=""18300"", metro_name=""Coos Bay, OR uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	15394
Longview Daily News					Clinton					46.1381677	-122.9381672	WA	Longview	Longview Daily News	"#<struct CityMetro st=""WA"", city=""Longview"", fips_state=""53"", fips_place=""40245"", cbsa_code=""31020"", metro_name=""Longview, WA MSA"", metro_stature=""MSA"", pop_2007=100467, pop_2000=92948, pop_rank=383, pop_chg_pct_00_07=8.09, pop_chg_pct_avg=1.16, pop_at_or_above=249918030, pop_aoa_pct=81.9, metro_st=""WA"", metro_nickname=""Cowlitz County"", csa_name=nil>"	36349
Hamilton Journal News	Obama	Bush					19432			39.3995008	-84.5613355	OH	Hamilton	Hamilton Journal News	"#<struct CityMetro st=""OH"", city=""Hamilton"", fips_state=nil, fips_place=nil, cbsa_code=17140, metro_name=""Cincinnati-Middletown, OH-KY-IN MSA"", metro_stature=""MSA"", pop_2007=2133678, pop_2000=2009654, pop_rank=24, pop_chg_pct_00_07=6.17, pop_chg_pct_avg=0.88, pop_at_or_above=123048673, pop_aoa_pct=40.3, metro_st=""OH-KY-IN"", metro_nickname=""Greater Cincinnati, The Tri-State"", csa_name=""Cincinnati-Middletown-Wilmington, OH-KY-IN CSA"">"	61445
Lakeland Ledger	Obama	Bush	Bush		Clinton		65948			28.0394654	-81.9498042	FL	Lakeland	Lakeland Ledger	"#<struct CityMetro st=""FL"", city=""Lakeland"", fips_state=""12"", fips_place=""38250"", cbsa_code=""29460"", metro_name=""Lakeland-Winter Haven, FL MSA"", metro_stature=""MSA"", pop_2007=574746, pop_2000=483924, pop_rank=87, pop_chg_pct_00_07=18.77, pop_chg_pct_avg=2.68, pop_at_or_above=190374125, pop_aoa_pct=62.4, metro_st=""FL"", metro_nickname=nil, csa_name=nil>"	90761
Marietta Daily Journal			Bush							33.952602	-84.5499327	GA	Marietta	Marietta Daily Journal	"#<struct CityMetro st=""GA"", city=""Marietta"", fips_state=""13"", fips_place=""49756"", cbsa_code=""12060"", metro_name=""Atlanta-Sandy Springs-Marietta, GA MSA"", metro_stature=""MSA"", pop_2007=5278904, pop_2000=4248012, pop_rank=9, pop_chg_pct_00_07=24.27, pop_chg_pct_avg=3.47, pop_at_or_above=74816029, pop_aoa_pct=24.5, metro_st=""GA"", metro_nickname=""Metro Atlanta"", csa_name=""Atlanta-Sandy Springs-Gainesville, GA-AL CSA"">"	61360
Orange Leader					Clinton					30.0929879	-93.7365549	TX	Orange	Orange Leader	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	17767
News Sentinel			Bush							41.1306041	-85.1288597	IN	Fort Wayne	News Sentinel	"#<struct CityMetro st=""IN"", city=""Fort Wayne"", fips_state=""18"", fips_place=""25000"", cbsa_code=""23060"", metro_name=""Fort Wayne, IN MSA"", metro_stature=""MSA"", pop_2007=410070, pop_2000=390156, pop_rank=117, pop_chg_pct_00_07=5.1, pop_chg_pct_avg=0.73, pop_at_or_above=204861795, pop_aoa_pct=67.1, metro_st=""IN"", metro_nickname="""", csa_name=""Fort Wayne-Huntington-Auburn, IN CSA"">"	229715
Waco Tribune Herald	abstain				Clinton					31.549333	-97.1466695	TX	Waco	Waco Tribune Herald	"#<struct CityMetro st=""TX"", city=""Waco"", fips_state=""48"", fips_place=""76000"", cbsa_code=""47380"", metro_name=""Waco, TX MSA"", metro_stature=""MSA"", pop_2007=228123, pop_2000=213517, pop_rank=190, pop_chg_pct_00_07=6.84, pop_chg_pct_avg=0.98, pop_at_or_above=227528535, pop_aoa_pct=74.6, metro_st=""TX"", metro_nickname=""McLennan County"", csa_name=nil>"	118967
Southwest Times			Bush							37.0478982	-80.7797935	VA	Pulaski	Southwest Times	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	9016
Olathe Daily News					Clinton					38.8813958	-94.8191285	KS	Olathe	Olathe Daily News	#<struct CityMetro st=nil, city=nil, fips_state=nil, fips_place=nil, cbsa_code=nil, metro_name=nil, metro_stature=nil, pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>	113647
Mineral Wells Index					Clinton					32.8084605	-98.1128223	TX	Mineral Wells	Mineral Wells Index	"#<struct CityMetro st=""TX"", city=""Mineral Wells"", fips_state=""48"", fips_place=""48684"", cbsa_code=""33420"", metro_name=""Mineral Wells, TX uSA"", metro_stature=""uSA"", pop_2007=nil, pop_2000=nil, pop_rank=nil, pop_chg_pct_00_07=nil, pop_chg_pct_avg=nil, pop_at_or_above=nil, pop_aoa_pct=nil, metro_st=nil, metro_nickname=nil, csa_name=nil>"	16993
Topeka Capital Journal				Dole	GHWBush					39.0483336	-95.6780371	KS	Topeka	Topeka Capital Journal	"#<struct CityMetro st=""KS"", city=""Topeka"", fips_state=""20"", fips_place=""71000"", cbsa_code=""45820"", metro_name=""Topeka, KS MSA"", metro_stature=""MSA"", pop_2007=228692, pop_2000=224551, pop_rank=189, pop_chg_pct_00_07=1.84, pop_chg_pct_avg=0.26, pop_at_or_above=227300412, pop_aoa_pct=74.5, metro_st=""KS"", metro_nickname=nil, csa_name=nil>"	121570
Bay City Times	Obama	Kerry					30183			43.5944677	-83.8888648	MI	Bay City	Bay City Times	"#<struct CityMetro st=""MI"", city=""Bay City"", fips_state=""26"", fips_place=""06020"", cbsa_code=""13020"", metro_name=""Bay City, MI MSA"", metro_stature=""MSA"", pop_2007=107517, pop_2000=110157, pop_rank=363, pop_chg_pct_00_07=-2.4, pop_chg_pct_avg=-0.34, pop_at_or_above=248672189, pop_aoa_pct=81.5, metro_st=""MI"", metro_nickname=""Greater Tri-Cities5"", csa_name=""Saginaw-Bay City-Saginaw Township North, MI CSA"">"	34568
Mobile Press Register	McCain	Bush	Bush		GHWBush		99433			30.6943566	-88.0430541	AL	Mobile	Mobile Press Register	"#<struct CityMetro st=""AL"", city=""Mobile"", fips_state=""01"", fips_place=""50000"", cbsa_code=""33660"", metro_name=""Mobile, AL MSA"", metro_stature=""MSA"", pop_2007=404406, pop_2000=399843, pop_rank=121, pop_chg_pct_00_07=1.14, pop_chg_pct_avg=0.16, pop_at_or_above=206489617, pop_aoa_pct=67.7, metro_st=""AL"", metro_nickname=""Mobile Bay Area"", csa_name=""Mobile-Daphne-Fairhope, AL CSA"">"	190274
